fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-12-31,USD,1497322000,1905871000,408549000,408549000,-161201000,1298844000,359679000,1658523000,20309000,-4058000,20309000,4058000,1792771000,-216077000,19500000,22522000,-363638000,10067000,4058000,-371094000,-376689000,-359580000,-138679000,-373705000
2021-12-31,USD,1202485000,1541889000,339404000,339404000,-411046000,1226044000,387487000,1613531000,1607000,-3640000,1607000,3640000,1541889000,-75415000,12800000,14897000,-488494000,31885000,3640000,-520379000,-519983000,-484854000,-396149000,-520379000
2020-12-31,USD,740126000,1092673000,352547000,352547000,-1173679000,1353145000,560660000,1913805000,4680000,-14139000,4680000,14139000,1092673000,4111000,13900000,13871000,-1179027000,-12636000,14139000,-1166391000,-1168433000,-1164888000,-1159808000,-1166391000
